Proseka,MR
4,5
88,
92,
96,
109,
110,
115,
116,
119,
120,
121,
124,
125,
126,
130,
134,
135,
136,
139,
140,
141,
144,5
145,1
146,
157,5
166,
167,
170,
171,
172,
175,1
177,
180,5
181,5
182,
185,
187,
191,
195,5
196,
197,5
198,
203,1
213,2
219,
224,
227,5
228,5
232,
233,5
234,5
239,
242,5
246,
207,
244,
251,
114,
190,
192,
269,5
270,
271,
261,
254,
131,
238,
281,
276,
266,
279,5
280,1
155,
293,2
256,
291,2
289,2
161,
243,5
160,
286,
292,2
290,5
265,
218,
151,
204,
250,
319,
222,
321,
325,5
336,
342,
330,3
348,5
349,5
208,5
351,2
352,
331,1
350,5
129,
320,
381,5
343,
341,
382,
380,1
209,
111,
309,
149,
392,
391,
407,5
315,
374,
393,
285,
402,2
186,
313,
406,5
403,2
410,
297,
411,5
398,
416,5
418,
375,
422,2
424,2
229,
446,
162,
447,5
450,5
452,
458,2
245,
456,2
356,
150,
373,
460,2
457,2
468,5
470,5
471,
298,
465,
429,
165,
476,1
284,
451,
475,5
199,
477,1
255,
260,
259,
436,
