objectid,Thumbnail,Character,Unit,Merch Type,Preorder,Purchased From,Title,Collab,In-Game Event,Quantity,Tags,Pictures,Auto-Tags,Color
1,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95MD3JL3cOIy7FTX1VLQYSE2MptTu_Y0s6Mx4egxwmdw43S1N3FcRov65qaBLD3fMeDTWFOndcfMYFytgusG31zrXSvmKZ1k6IdjQfdOHxZ3mp346iWM4jJm-d9EN_vovRHBbqzaD3W9Lv2cDFSsV-amwexg9PLbb2H4qne3tpyDM-JQhdJ2zgGFC3Qk-vINu5pTGCm,Emu Otori,Wonderlands×Showtime,Badge - Acrylic,false,Colorful Palette,,,,1,event-banner,,emu-otori wonderlands-x-showtime wxs wandasho colorful-palette acrylic badge button pin acrylic-badge acrylic-button acrylic-pin,"#FF66BC"
2,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv945y1ZcuhYPkQ5SIIvOKaVoMy15W8gFil4Q6mNLhVBShxGyWBXt3iMb6SMdlwf3BMUPkN6q_rm9IvRk3uB_P2lW0jglZFWMMylgGHNfYT3cKG_j0luEhGRRraNPX-s6TnUw5GVS4FFP4hXn46VbplqOCZUq13pJIY9yUPRtmK6sX_vRMv0ik9q94WJqjBMiE4cl0PLQ,Miku Hatsune (Vivid BAD SQUAD),Vivid BAD SQUAD,Plush - Nesoberi,false,AmiAmi,,,,1,,,miku-hatsune virtual-singer miku-hatsune-vivid-bad-squad vivid-bad-squad vbs viviba amiami plush nesoberi neso nesoberi-plush,"#33CCBA"
3,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97LW3ioj9R2YCnbIJiPZbMjesNCszWSVGYjZXs3EJ8QAxOJFIeEDkS0CB39nWCTbWQmGILWMRVUhSR6ah4_awSBu_pt53ZRpmOvMGf7dHuoCR2lZaPhGpMABo8EFLwo1aVgLyBhGBIEtgJ1Kns_so6V84gahryeLdhrSjXrJV_-sIdbHq4nMFPAOcHU6OfR-_XisxOY,Tsukasa Tenma,Wonderlands×Showtime,Plush - Mascot,false,Mercari JP,,,,1,,,tsukasa-tenma wonderlands-x-showtime wxs wandasho mercari mercari-jp plush,"#FFBB00"
4,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97GHUBdgG5qsj5LhC1WF7mMjv9xiG4NHxDFb41fdockyWZ18jlEtNGN2nSJ7f55rIp-UGgn0StuhUYvYOHVz5MjgP7ht_cbW1s9baH1l8Zfa9XKtC0sr_qCt87a01O975CrUHAIBnYyc0mGRO9J--16qVryN5SzHxIjgn48iMoD02hKcY1tCKQES7jdszatWPtHggJp,Miku Hatsune (Wonderlands×Showtime),Wonderlands×Showtime,Figure - Prize,false,Tokyo Otaku Mode,,,,1,sega-prize,,miku-hatsune virtual-singer miku-hatsune-wonderlands-x-showtime wonderlands-x-showtime wxs wandasho tom tokyo-otaku-mode figure prize-figure prize,"#33CCBA"
5,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv96GFO1c1FYPFfOlJLbXopQRn8aoFdnnxlZcFaetJi62jqZXDDC1qxlUo4r5B0-dPZjhhIJcpWqFQP7_ADeI80FIYaOlL4P7AlUpC_l1rzjODf4gBv86SO3e39DJRwNE38syo-8R8FdZxC0rbhogEZulKb4HwlCuLZFoZbjBRpOKgrntutY0biimTTPWycl1YJv5rieO,Ichika Hoshino,Leo/need,Badge - Can (Benefit),false,,"""Leo/need SEKAI ALBUM vol.1"" [Gamers Exclusive]",,,1,cd-benefit,,ichika-hoshino leo-need leoni can badge button pin can-badge can-button can-pin,"#33AAEE"
6,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv96lhPmKGhP8DNMYA7ZUN1c4HzGjiMnEbT0YJivu6rd0r4oIf6a_x1Yx49wE22s2B-eCDMluW5MtWg02NHt1CelfLRNEhJqGxhPUdTe37VrvvYdUhJ2YUVmYfuOJcrVgGd4wYo6WOAJ2UkXdcvLVtnUWdnIifgvhEemP_SVujW4uzZQ81Vby-ZIzmmy4SrNydKEN45p9,"Ichika Hoshino, Minori Hanasato, Kanade Yoisaki, Miku Hatsune, Kohane Azusawa, Tsukasa Tenma","Leo/need, MORE MORE JUMP!, Nightcord at 25:00, VIRTUAL SINGER, Vivid BAD SQUAD, Wonderlands×Showtime",Blu-ray,false,Amazon JP,,Sekai Symphony 2021,,1,,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95i1CJfgeQzwkThy9qO9GaE_tuvVxjoXX9_RfxNoaOn55CTSRsHYftXTzNPJ3KTjqKZ3eMjG3YoMsdM62oNTN3EJGAGZ6IiWPK4LRIWGiMVtKXzXKsH5pO3jfJQ4BodnebPcCH9AopRshZDCQ3evsS-uLJrAYc9TXITmqqp3IwqC0YsglrilCjv4vcuksDJ_6c_Re5H,ichika-hoshino minori-hanasato kanade-yoisaki miku-hatsune kohane-azusawa tsukasa-tenma leo-need leoni more-more-jump mmj momojan nightcord-at-25 nightcord niigo virtual-singer vivid-bad-squad vbs viviba wonderlands-x-showtime wxs wandasho amazon blu-ray bluray dvd,"#EE1166"
7,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97Cp4_-tmySyMsp2wOMh26PLwnFmLtDZGp6hi4NZIve55iwdPD1pDAK1KWqhAWhNNtrqoLrgQiIk4eGCXipE4Qk3hHa4v2YYNfGMpLyO9Ay1_7y6EDADj6bnDEoD-8cERVGx1LiRkwatIvjsx5chagY4_XDFRTlPlsW6ifPfoNUqW8Tr7CvEsROI6eKxJl6OioNy6Yo,Tsukasa Tenma,Wonderlands×Showtime,Plush - Nesoberi,false,Animate,,,,1,,,tsukasa-tenma wonderlands-x-showtime wxs wandasho animate plush nesoberi neso nesoberi-plush,"#FFBB00"
8,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94XKJ416oa00iOZ1a3QcyP0fBmThrrwzFByVdh2X-udOgGcVqWo81lGPbHo3uWG2rV6c_7pLMCL5oPdpo6DoX95uuSoeZvZAsDLTnOKVIHfWEysCJ1_lVZCz1SOg0bPVbN3SHiBiEREHKdYNbM3myQJdcjCZZe8FgvvL_HYaPpfQjbVgtuIq5hoshV4gOaAH-zHIJVM,Miku Hatsune,VIRTUAL SINGER,Badge - Can,false,Colorful Palette,,Sekai Symphony 2022,,1,sekai-symphony,,miku-hatsune virtual-singer colorful-palette can badge button pin can-badge can-button can-pin,"#33CCBA"
9,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95NBQQsr2RD0hKW7PnWuOcchoNVxnJqXkpALGSkhCg-jJ8mBVap3HSsg0Si6OLwuHaL-nLvzoldrGz0DaeNAO_MhqAZckO0oR9z_diFzC3ut42AMu5kkB8jkJsYDmOIymVCnWP4HF7qxxd7PnjPhNGvb-O7kSW6WN5RHfrlqCLTmZhKGfIIzKA1yAiiNb6-I1aP83KO,Emu Otori,Wonderlands×Showtime,Plush - Nesoberi,false,Animate,,,,1,,,emu-otori wonderlands-x-showtime wxs wandasho animate plush nesoberi neso nesoberi-plush,"#FF66BC"
10,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv957x3kxcfE5tCuEbbFgXZWM7tIMFWpbI48KHBqOhm83OILvO_aEWR825eG18vfK5wJr8rJwiRXL47_r6WzPob9z09n62KspaPzpX9QqJ0DJGa_pA_7okDdIpy63OoN6Zh8hoxzJ5ODRalpiH-fNKXOavAsY0j2Z7d6N2_i9orjEdlRtu27bt1xpQbb6_ftJTHnb2jmx,Saki Tenma,Leo/need,Badge - Can (Square),false,Animate,"""Resonating with you""",,,1,square-badge,,saki-tenma leo-need leoni animate can badge button pin can-badge can-button can-pin,"#FFDD45"
